[admin.py:29] - 2023-07-22 22:21:19,597 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-07-22 22:21:19,598 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-07-22 22:21:19,612 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\tudos\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'builder.pyw']
[admin.py:80] - 2023-07-22 22:21:19,613 - INFO - Running command 'C:\\Users\\tudos\\AppData\\Local\\Programs\\Python\\Python310\\python.exe' - 'builder.pyw'
[admin.py:29] - 2023-07-22 22:21:23,665 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,874 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,874 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,875 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,876 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,877 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-22 22:21:23,877 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2023-07-22 22:21:44,522 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-07-22 22:21:44,523 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-07-22 22:21:44,529 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\tudos\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'builder.pyw']
[admin.py:80] - 2023-07-22 22:21:44,529 - INFO - Running command 'C:\\Users\\tudos\\AppData\\Local\\Programs\\Python\\Python310\\python.exe' - 'builder.pyw'
[admin.py:29] - 2023-07-22 22:21:46,754 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,884 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-07-22 22:21:46,885 - DEBUG - STREAM b'IHDR' 16 13
